owner_ability	key	kind	target_path	guid
chain_destroy_zero_atk	conditions_trigger	缺失	(缺失)	c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7
chain_draw1	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
chain_projectile1	projectile_fx		Assets\TcgEngine\Prefabs\FX\FlameProjectile.prefab	80ec2da95252be64b8bcbf8556e05234
chain_quickdraw	projectile_fx		Assets\TcgEngine\Prefabs\FX\FlameProjectile.prefab	80ec2da95252be64b8bcbf8556e05234
death_egg	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
death_fire_chicken_egg	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
defend_poison	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
egg_transform	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
egg_transform_fire_chicken	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
egg_transform_phoenix	caster_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
play_+3+3	target_fx		Assets\TcgEngine\Prefabs\FX\ElectricFX.prefab	a9dd7f86c32fa924eba176b02f2cd9ea
play_boost2	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
play_damage_all_atkvalue	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage_other_all2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage1	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage3_creature	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage3_enemy_player	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage3_repeart	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage4_players	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_damage5	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
play_discard	caster_fx		Assets\TcgEngine\Prefabs\FX\CastFX.prefab	baadd1fc54b9b4f4fa6d0aee484bc9f8
play_poison	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
play_set_attack1	target_fx		Assets\TcgEngine\Prefabs\FX\ElectricFX.prefab	a9dd7f86c32fa924eba176b02f2cd9ea
play_silence	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
regen_all	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
regen3	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_add_attack_suffer	target_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
spell_add_extinct	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
spell_add_submerge	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
spell_ally_attack_2	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
spell_attack1	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_damage_mana_max	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
spell_damage1	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
spell_damage3	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
spell_damage4	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
spell_destroy	target_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
spell_destroy_all	target_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
spell_give_flying_ability	effects	缺失	(缺失)	12345678901234567890123456789012
spell_heal_full	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_hibernate	target_fx		Assets\TcgEngine\Prefabs\FX\Leaf.prefab	8d68eb12f4dda644184359acd4008081
spell_hp2	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_hp70	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_jixianhuohua	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
spell_life_enhance	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
spell_paralyse3	target_fx		Assets\TcgEngine\Prefabs\FX\TrapFX.prefab	5b9c8cff8f15ea54aba19dca5a83d4e8
spell_return_all	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
spell_send_board	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
spell_send_hand	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
spell_set_all_hp1	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
spell_silence_buff	effects	缺失	(缺失)	3c7e8d9f0a1b2c3d4e5f6a7b8c9d0e1f
trap_damage_all2	target_fx		Assets\TcgEngine\Prefabs\FX\Flame.prefab	b66600b51774daa49964ead5c6a00c49
trap_paralyse3	target_fx		Assets\TcgEngine\Prefabs\FX\TrapFX.prefab	5b9c8cff8f15ea54aba19dca5a83d4e8
trap_transform_fish	target_fx		Assets\TcgEngine\Prefabs\FX\WaterFX.prefab	0a338e869785e474db7ea79bc0f3b554
turn_green_heal	target_fx		Assets\TcgEngine\Prefabs\FX\PotionFX.prefab	be19380a491c8c245afe0dd96e02ba78
turn_kill_lowest	target_fx		Assets\TcgEngine\Prefabs\FX\Phoenix.prefab	a12deeffd1eefbb4f878c6692e5363fd
