批次： full pass FINAL4｜用例数：309｜caster=火精灵
结果	编号	中文名	分类	测法	观测值	备注
✅	210001	简单抽牌	行动	OnPlay → 210001「简单抽牌」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210003	卡牌移回手牌	行动	OnPlay → 210003「卡牌移回手牌」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210004	卡牌洗入牌库	行动	OnPlay → 210004「卡牌洗入牌库」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210005	卡牌置入墓地	行动	OnPlay → 210005「卡牌置入墓地」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210006	卡牌置入延迟区	行动	OnPlay → 210006「卡牌置入延迟区」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210007	卡牌装备到道具栏	行动	OnPlay → 210007「卡牌装备到道具栏」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	210008	卡牌移动到暂存区	行动	OnPlay → 210008「卡牌移动到暂存区」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102002	卡牌类型判断	卡牌	OnPlay → 消费者(202001).v ← 102002「卡牌类型判断」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	102032	卡牌类型判断	卡牌	OnPlay → 消费者(202001).v ← 102032「卡牌类型判断」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=True（类型 Boolean）｜日志=—	auto｜
✅	102003	卡牌关键词判断	卡牌	OnPlay → 消费者(202001).v ← 102003「卡牌关键词判断」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202003	创建衍生卡并置入战场	卡牌	OnPlay → 202003「创建衍生卡并置入战场」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202003 创建衍生卡失败：卡牌定义不存在（cardDefine=""）	auto｜要求执行数≥1
✅	202004	创建衍生卡并置入手牌	卡牌	OnPlay → 202004「创建衍生卡并置入手牌」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202004 创建衍生卡失败：卡牌定义不存在（cardDefine=""）	auto｜要求执行数≥1
✅	202005	创建衍生卡并洗入牌库	卡牌	OnPlay → 202005「创建衍生卡并洗入牌库」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202005 创建衍生卡失败：卡牌定义不存在（cardDefine=""）	auto｜要求执行数≥1
✅	202006	创建衍生卡并装备到道具栏	卡牌	OnPlay → 202006「创建衍生卡并装备到道具栏」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202006 创建装备失败：卡牌定义不存在	auto｜要求执行数≥1
✅	202045	创建衍生卡并置入延迟区	卡牌	OnPlay → 202045「创建衍生卡并置入延迟区」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202045 创建衍生卡置入延迟区失败：卡牌定义不存在（cardDefine=""）	auto｜要求执行数≥1
✅	202046	创建衍生卡并置入牌堆	卡牌	OnPlay → 202046「创建衍生卡并置入牌堆」；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202046 创建衍生卡失败：卡牌定义不存在（cardDefine=""）	auto｜要求执行数≥1
✅	202044	复制卡牌	卡牌	OnPlay → 202044「复制卡牌」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102001	这张卡牌	卡牌	OnPlay → 消费者(202001).v ← 102001「这张卡牌」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	102027	获取卡牌属性	卡牌	OnPlay → 消费者(202001).v ← 102027「获取卡牌属性」.return；card ← 入口「卡牌」口(施法卡)；取「Object」通道（GetObjectInput）	GetObjectInput 返回=0（类型 Int32）｜日志=—	auto｜
✅	202037	设置卡牌属性	卡牌	OnPlay → 202037「设置卡牌属性」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102035	获取卡牌属性名	卡牌	OnPlay → 消费者(202001).v ← 102035「获取卡牌属性名」.return；取「String」通道（ResolveInputString）	ResolveInputString 返回=攻击（类型 String）｜日志=—	auto｜
✅	102004	获取属性	卡牌	OnPlay → 消费者(202001).v ← 102004「获取属性」.return；card ← 入口「卡牌」口(施法卡)；取「Object」通道（GetObjectInput）	GetObjectInput 返回=0（类型 Int32）｜日志=—	auto｜
✅	202007	设置属性	卡牌	OnPlay → 202007「设置属性」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=[NodeDoc] 202007 设置属性（运行期内存）：火精灵 的 攻击 → 0	auto｜要求执行数≥1
✅	102005	获取花费	卡牌	OnPlay → 消费者(202001).v ← 102005「获取花费」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	102006	获取攻击力	卡牌	OnPlay → 消费者(202001).v ← 102006「获取攻击力」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	102007	获取最大生命值	卡牌	OnPlay → 消费者(202001).v ← 102007「获取最大生命值」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	102008	获取当前生命值	卡牌	OnPlay → 消费者(202001).v ← 102008「获取当前生命值」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	102033	卡牌拥有标签	卡牌	OnPlay → 消费者(202001).v ← 102033「卡牌拥有标签」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202002	丢弃卡牌	卡牌	OnPlay → 202002「丢弃卡牌」；hands ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202038	丢弃卡牌	卡牌	OnPlay → 202038「丢弃卡牌」；hands ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202019	增加固定数量护甲	卡牌	OnPlay → 202019「增加固定数量护甲」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202018	增加护甲	卡牌	OnPlay → 202018「增加护甲」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202020	失去护甲	卡牌	OnPlay → 202020「失去护甲」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102010	获取卡牌拥有者	卡牌	OnPlay → 消费者(202001).v ← 102010「获取卡牌拥有者」.return；card ← 入口「卡牌」口(施法卡)；取「Player」通道（ResolveValuePlayer）	ResolveValuePlayer 返回=TcgEngine.Player（类型 Player）｜日志=—	auto｜
✅	102011	获取卡牌法术伤害	卡牌	OnPlay → 消费者(202001).v ← 102011「获取卡牌法术伤害」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	-14	是否为法术牌	卡牌	OnPlay → 消费者(202001).v ← -14「是否为法术牌」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202001	造成伤害	卡牌	OnPlay → 202001「造成伤害」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202034	造成伤害或法伤	卡牌	OnPlay → 202034「造成伤害或法伤」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202041	造成伤害或法伤	卡牌	OnPlay → 202041「造成伤害或法伤」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202035	造成伤害或法伤并分配给目标	卡牌	OnPlay → 202035「造成伤害或法伤并分配给目标」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202042	造成伤害或法伤并分配给目标	卡牌	OnPlay → 202042「造成伤害或法伤并分配给目标」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202036	对固定数量的随机目标造成伤害或法伤	卡牌	OnPlay → 202036「对固定数量的随机目标造成伤害或法伤」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202043	对固定数量的随机目标造成伤害或法伤	卡牌	OnPlay → 202043「对固定数量的随机目标造成伤害或法伤」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202011	造成法术伤害	卡牌	OnPlay → 202011「造成法术伤害」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202012	造成固定法术伤害并分配给随机目标	卡牌	OnPlay → 202012「造成固定法术伤害并分配给随机目标」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202013	治疗目标卡牌	卡牌	OnPlay → 202013「治疗目标卡牌」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202039	治疗目标卡牌	卡牌	OnPlay → 202039「治疗目标卡牌」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202047	治疗目标卡牌	卡牌	OnPlay → 202047「治疗目标卡牌」；targets ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102012	获取所有仆从	卡牌	OnPlay → 消费者(202001).v ← 102012「获取所有仆从」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(1): [woodland#Iu3X7tNCX2tFSn]（类型 List`1）｜日志=—	auto｜
✅	102013	获取所有角色	卡牌	OnPlay → 消费者(202001).v ← 102013「获取所有角色」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(3): [hero_fire#OXwUTv0rvbeh, woodland#Iu3X7tNCX2tFSn, hero_fire#aGTp1d0YktkhfR]（类型 List`1）｜日志=—	auto｜
✅	102014	获取友方仆从	卡牌	OnPlay → 消费者(202001).v ← 102014「获取友方仆从」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
✅	102015	获取友方角色	卡牌	OnPlay → 消费者(202001).v ← 102015「获取友方角色」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(1): [hero_fire#OXwUTv0rvbeh]（类型 List`1）｜日志=—	auto｜
✅	102016	获取敌方仆从	卡牌	OnPlay → 消费者(202001).v ← 102016「获取敌方仆从」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(1): [woodland#Iu3X7tNCX2tFSn]（类型 List`1）｜日志=—	auto｜
✅	102017	获取敌方角色	卡牌	OnPlay → 消费者(202001).v ← 102017「获取敌方角色」.return；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(2): [woodland#Iu3X7tNCX2tFSn, hero_fire#aGTp1d0YktkhfR]（类型 List`1）｜日志=—	auto｜
✅	202014	禁锢	卡牌	OnPlay → 202014「禁锢」；card ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202015	沉默	卡牌	OnPlay → 202015「沉默」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202040	封印	卡牌	OnPlay → 202040「封印」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202016	消灭	卡牌	OnPlay → 202016「消灭」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202017	强制更新游戏状态	卡牌	OnPlay → 202017「强制更新游戏状态」；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102019	获取护甲值	卡牌	OnPlay → 消费者(202001).v ← 102019「获取护甲值」.return；card ← 入口「卡牌」口(施法卡)；取「Int32」通道（ResolveNodeInt）	ResolveNodeInt 返回=0（类型 Int32）｜日志=—	auto｜
✅	102020	获取相邻卡牌	卡牌	OnPlay → 消费者(202001).v ← 102020「获取相邻卡牌」.return；card ← 入口「卡牌」口(施法卡)；取「Card」通道（ResolveInputCard）	ResolveInputCard 返回=TcgEngine.Card（类型 Card）｜日志=—	auto｜
✅	102021	卡牌具有宣言	卡牌	OnPlay → 消费者(202001).v ← 102021「卡牌具有宣言」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202021	触发卡牌宣言	卡牌	OnPlay → 202021「触发卡牌宣言」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102022	卡牌具有遗言	卡牌	OnPlay → 消费者(202001).v ← 102022「卡牌具有遗言」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202022	触发卡牌遗言	卡牌	OnPlay → 202022「触发卡牌遗言」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202023	触发法术或技能卡牌效果	卡牌	OnPlay → 202023「触发法术或技能卡牌效果」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102028	卡牌是否是陷阱	卡牌	OnPlay → 消费者(202001).v ← 102028「卡牌是否是陷阱」.return；card ← 入口「卡牌」口(施法卡)；取「Boolean」通道（GetBoolInput）	GetBoolInput 返回=False（类型 Boolean）｜日志=—	auto｜
✅	202024	重置卡牌	卡牌	OnPlay → 202024「重置卡牌」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202025	强制攻击目标	卡牌	OnPlay → 202025「强制攻击目标」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	202026	本回合攻击次数增加一次	卡牌	OnPlay → 202026「本回合攻击次数增加一次」；cards ← 入口「卡牌」口(施法卡)；Run(OnPlay)	Run 动作数=1；日志=—	auto｜要求执行数≥1
✅	102023	获取合法卡牌使用目标	卡牌	OnPlay → 消费者(202001).v ← 102023「获取合法卡牌使用目标」.return；card ← 入口「卡牌」口(施法卡)；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(3): [hero_fire#OXwUTv0rvbeh, woodland#Iu3X7tNCX2tFSn, hero_fire#aGTp1d0YktkhfR]（类型 List`1）｜日志=—	auto｜
✅	102024	获取合法攻击目标	卡牌	OnPlay → 消费者(202001).v ← 102024「获取合法攻击目标」.return；card ← 入口「卡牌」口(施法卡)；取「Card」通道（ResolveInputCard）	ResolveInputCard→GetObjectInput(兜底) 返回=List`1(0): []（类型 List`1）｜日志=—	auto｜
