# 卡池编译冒烟（图 → AbilityData）  at=2026-09-23 20:07:28
# 列：card | effIdx | ability | trigger | target | condTrigger | condTarget | filters | status | effects | chains
dragon_knight	-	graph_dragon_knight_PassiveEffect_nodeb9dae4	OnDeath	PlayerSelf					EffectRunGraph	
dragon_red	-	spell_immunity	Ongoing	Self				SpellImmunity		
dragon_white	0	<效果图>	PassiveEffect	施法者玩家			0		PassiveEffect 202013	
dragon_white	-	spell_immunity	Ongoing	Self				SpellImmunity		
dragon_white	-	graph_dragon_white_PassiveEffect_nodedca01d	OnDeath	PlayerSelf					EffectRunGraph	
eel	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 102032 EFCardOwner 112005 212001 202037	
eel	-	graph_eel_ActivateEffect_node782704	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}			EffectRunGraph	
equip_ring	0	<效果图>	EventEffect	施法者玩家			0		EventEffect AddManaNoClamp	chain_equip_use
equip_ring	-	graph_equip_ring_EventEffect_node6fb534	StartOfTurn	PlayerSelf					EffectRunGraph	chain_equip_use
equip_shield	-	equip_armor2	Ongoing	EquippedCard				Armor		
equip_shield	-	equip_taunt	Ongoing	EquippedCard				Protection		
equip_sword	-	equip_first_strike	Ongoing	EquippedCard				FirstStrike		
fire_chicken	0	<效果图>	PassiveEffect	自身			0		PassiveEffect 202003	
fire_chicken	-	graph_fire_chicken_PassiveEffect_node900f5e	OnDeath	Self					EffectRunGraph	
fire_chicken_egg	0	<效果图>	EventEffect	自身			0		EventEffect 202029	
fire_chicken_egg	-	graph_fire_chicken_egg_EventEffect_node592af9	StartOfTurn	Self					EffectRunGraph	
fire_element	0	<效果图>	ActivateEffect	所有角色			0		ActivateEffect 102001 112002 112005 212001 202041	
fire_element	-	graph_fire_element_ActivateEffect_node0ed2cd	OnPlay	AllCardsBoard		ConditionSelf{oper=IsFalse}			EffectRunGraph	
firefox	0	<效果图>	ActivateAbility	卡牌选择			0		ActivateAbility SendToPileRaw	
firefox	-	graph_firefox_ActivateAbility_nodebefcc2	Activate	CardSelector	ConditionCount{target=Self;pile=Discard;oper=GreaterEqual;value=1;has_type=Spell}	ConditionCardPile{type=Discard;oper=IsTrue} + ConditionCardType{has_type=Spell;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
fish	0	<效果图>	PassiveEffect	施法者玩家			0		PassiveEffect 210001	
fish	-	graph_fish_PassiveEffect_node2acc9b	OnDeath	PlayerSelf					EffectRunGraph	
fishing_rod	0	<效果图>	OnAfterAttack	所有槽位			1		OnAfterAttack 202003	
fishing_rod	-	equip_attack1	Ongoing	EquippedCard					EffectAddStat	
fishing_rod	-	equip_hp1	Ongoing	EquippedCard					EffectAddStat	
fishing_rod	-	graph_fishing_rod_OnAfterAttack_node378530	OnAfterAttack	AllSlots		ConditionSlotEmpty{oper=IsTrue} + ConditionOwner{oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}	FilterFirst{amount=1}		EffectRunGraph	
flame_eagle	0	<效果图>	ActivateEffect	自身			0		ActivateEffect SetCardExhausted	
flame_eagle	-	flying	Ongoing	Self				Flying		
flame_eagle	-	graph_flame_eagle_ActivateEffect_noded30f06	OnPlay	Self					EffectRunGraph	
forest_Axe	-	equip_lifesteal	Ongoing	EquippedCard				LifeSteal		
forest_Axe	-	equip_attack1	Ongoing	EquippedCard					EffectAddStat	
forest_Axe	-	equip_hp2	Ongoing	EquippedCard					EffectAddStat	
ghoul	0	<效果图>	ActivateEffect	自身			0		ActivateEffect 102004 112003 112004 202037 102004 112003 112004 202037	
ghoul	-	graph_ghoul_ActivateEffect_node461567	OnPlay	Self	ConditionCount{target=Self;pile=Discard;oper=GreaterEqual;value=1;has_type=Character}				EffectRunGraph	
gorilla	0	<效果图>	ActivateEffect	自身			0		ActivateEffect RollValue	roll_add_attack
gorilla	-	graph_gorilla_ActivateEffect_node07e250	OnPlay	Self					EffectRunGraph	roll_add_attack
hell_hound	-	fury	Ongoing	Self				Fury		
hero_fire	0	<效果图>	ActivateAbility	选择目标			0		ActivateAbility 112001 101030 112005 212001 202041	
hero_fire	-	graph_hero_fire_ActivateAbility_noded8d1c5	Activate	SelectTarget	ConditionOnce	ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
hero_forest	0	<效果图>	ActivateAbility	选择目标			0		ActivateAbility 112001 101030 112005 212001 202013	
hero_forest	-	graph_hero_forest_ActivateAbility_node84289a	Activate	SelectTarget	ConditionOnce	ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsTrue}			EffectRunGraph	
hero_water	0	<效果图>	ActivateAbility	施法者玩家			0		ActivateAbility 210001	
hero_water	-	graph_hero_water_ActivateAbility_node2490fe	Activate	PlayerSelf	ConditionOnce				EffectRunGraph	
holy_angel	-	flying	Ongoing	Self				Flying		
holy_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
holy_blessing	-	trample	Ongoing	Self				Trample		
holy_blessing	-	graph_holy_blessing_ActivateEffect_nodecd6d1c	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
holy_griffin	0	<效果图>	ActivateAbility	自身			0		ActivateAbility 102004 112003 112004 202037	activate_chain_get+1+2
holy_griffin	-	graph_holy_griffin_ActivateAbility_nodea8cfdf	Activate	Self					EffectRunGraph	activate_chain_get+1+2
holy_light	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 212001 202013	
holy_light	-	graph_holy_light_ActivateEffect_node5f7666	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse}			EffectRunGraph	
holy_saintess	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 212001 102004 112003 112004 202037 102004 112003 112004 202037	
holy_saintess	1	<效果图>	ActivateEffect	施法者玩家			0		ActivateEffect 202013	
holy_saintess	2	<效果图>	ActivateEffect	自身			0		ActivateEffect 210001	
holy_saintess	-	graph_holy_saintess_ActivateEffect_node81c9e3	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	
holy_saintess	-	graph_holy_saintess_ActivateEffect_nodef9cd38	OnPlay	PlayerSelf					EffectRunGraph	
holy_saintess	-	graph_holy_saintess_ActivateEffect_nodea28ee0	OnPlay	Self					EffectRunGraph	
ice_girl	0	<效果图>	EventEffect	触发者			0		EventEffect 102001 112002 112005 212001 SendToPileRaw	
ice_girl	-	fury	Ongoing	Self				Fury		
ice_girl	-	graph_ice_girl_EventEffect_nodee44d65	OnBeforeAttack	AbilityTriggerer		ConditionSelf{oper=IsFalse}			EffectRunGraph	
imp	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 202041	
imp	-	graph_imp_ActivateEffect_nodea8e733	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
killer_whale	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 202016	chain_draw
killer_whale	-	graph_killer_whale_ActivateEffect_node8104be	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionCardType{has_type=Character;oper=IsTrue} + ConditionStat{type=Attack;oper=LessEqual;value=4} + ConditionOwner{oper=IsFalse}			EffectRunGraph	chain_draw
kraken	0	<效果图>	ActivateEffect	自身			0		ActivateEffect SetCardExhausted	
kraken	-	graph_kraken_ActivateEffect_noded6e828	OnPlay	Self					EffectRunGraph	
large_eagle	-	flying_attack_1	Ongoing	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsTrue} + ConditionStatus{has_status=Flying;value=0;oper=IsTrue}			EffectAddStat	
large_eagle	-	flying	Ongoing	Self				Flying		
light_blessing	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 212001 202013	
light_blessing	-	graph_light_blessing_ActivateEffect_node51301f	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse}			EffectRunGraph	
light_sword	-	lifesteal	Ongoing	Self				LifeSteal		
mammoth	-	trample	Ongoing	Self				Trample		
necromancer	0	<效果图>	ActivateEffect	卡牌选择			1		ActivateEffect PlayCardFree	
necromancer	-	graph_necromancer_ActivateEffect_nodee2efe3	OnPlay	CardSelector		ConditionOwner{oper=IsTrue} + ConditionCardPile{type=Discard;oper=IsTrue} + ConditionCardType{has_type=Character;oper=IsTrue}	FilterRandom{amount=1}		EffectRunGraph	
octopus	0	<效果图>	EventEffect	自身			0		EventEffect RollValue	roll_attack_bonus
octopus	-	graph_octopus_EventEffect_nodebd6dfa	OnBeforeAttack	Self					EffectRunGraph	roll_attack_bonus
owl	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 ClearCardStatus ResetCardToBase	
owl	-	flying	Ongoing	Self				Flying		
owl	-	graph_owl_ActivateEffect_nodec92741	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionTarget{type=Card;oper=IsTrue} + ConditionOwnerAI{oper=IsFalse}		Silenced	EffectRunGraph	
paladin	-	shell	OnPlay	Self				Shell		
phoenix	0	<效果图>	ActivateAbility	选择目标			0		ActivateAbility 112001 102001 112002 112005 101030 112005 212001 202041	
phoenix	1	<效果图>	PassiveEffect	自身			0		PassiveEffect 202003	
phoenix	-	graph_phoenix_ActivateAbility_node49e5b8	Activate	SelectTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionSelf{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
phoenix	-	graph_phoenix_PassiveEffect_node5274d8	OnDeath	Self					EffectRunGraph	
phoenix_egg	0	<效果图>	EventEffect	自身			0		EventEffect 202029	
phoenix_egg	-	graph_phoenix_egg_EventEffect_node8844f1	StartOfTurn	Self					EffectRunGraph	
poison_frog	-	deathtouch	Ongoing	Self				Deathtouch		
potion_blue	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 EFCardOwner 112005 212001 202013	
potion_blue	-	spell_shell	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsTrue}		Shell		
potion_blue	-	graph_potion_blue_ActivateEffect_noded9ff0f	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
potion_green	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 EFCardOwner 112005 212001 102004 112003 112004 202037	
potion_green	-	spell_taunt	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsTrue} + ConditionStatus{has_status=Stealth;value=0;oper=IsFalse}		Protection		
potion_green	-	graph_potion_green_ActivateEffect_node6b82b5	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
potion_red	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 102032 EFCardOwner 112005 212001 102004 112003 112004 202037	
potion_red	-	spell_fury	OnPlay	PlayTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsTrue}		Fury		
potion_red	-	graph_potion_red_ActivateEffect_node677d29	OnPlay	PlayTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
power_blessing	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102032 105005 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
power_blessing	-	taunt	Ongoing	Self				Protection		
power_blessing	-	spell_immunity	Ongoing	Self				SpellImmunity		
power_blessing	-	graph_power_blessing_ActivateEffect_nodea2d677	OnPlay	SelectTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionCardPile{type=Board;oper=IsTrue}			EffectRunGraph	
pufferfish	-	defense_attack3	Ongoing	Self	ConditionTurn{oper=IsFalse}				EffectAddStat	
purification_priest	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 ClearCardStatus ResetCardToBase	
purification_priest	-	graph_purification_priest_ActivateEffect_node71fa0d	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionTarget{type=Card;oper=IsTrue} + ConditionOwnerAI{oper=IsFalse}		Silenced	EffectRunGraph	
raccoon	0	<效果图>	ActivateEffect	卡牌选择			0		ActivateEffect SendToPileRaw	
raccoon	-	graph_raccoon_ActivateEffect_node34df3b	OnPlay	CardSelector	ConditionCount{target=Self;pile=Discard;oper=GreaterEqual;value=1;has_type=Character}	ConditionCardPile{type=Discard;oper=IsTrue} + ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsTrue}			EffectRunGraph	
reaper	0	<效果图>	EventEffect	所有角色			1		EventEffect 102032 212001 202016	
reaper	-	graph_reaper_EventEffect_node6c8f47	StartOfTurn	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue}	FilterLowestStat{stat=10}		EffectRunGraph	
resurrection_swamp	0	<效果图>	ActivateEffect	卡牌选择			0		ActivateEffect PlayCardFree	
resurrection_swamp	-	graph_resurrection_swamp_ActivateEffect_nodedca8a3	OnPlay	CardSelector		ConditionOwner{oper=IsTrue} + ConditionCardPile{type=Discard;oper=IsTrue} + ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	
sasquatch	0	<效果图>	EventEffect	自身			0		EventEffect ClearCardStatus	
sasquatch	-	graph_sasquatch_EventEffect_node0fee73	EndOfTurn	Self	ConditionCount{target=Self;pile=Board;oper=GreaterEqual;value=2;has_type=Character}			Stealth	EffectRunGraph	
sea_monster	-	aura_attack_m1	Ongoing	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionSelf{oper=IsFalse} + ConditionOwner{oper=IsFalse}			EffectAddStat	
sea_monster	-	activate_boost1	Activate	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsTrue}		AddAttack		
seagull	-	flying	Ongoing	Self				Flying		
shadow_arrow	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 101030 112005 212001 202041	
shadow_arrow	-	graph_shadow_arrow_ActivateEffect_node787cc3	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
shadow_assassin	0	<效果图>	OnAfterAttack	触发者			0		OnAfterAttack 102001 112002 112005 102032 EFCardOwner 112005 212001 102004 112003 112004 202037 102004 112003 112004 202037	
shadow_assassin	-	stealth	OnPlay	Self				Stealth		
shadow_assassin	-	graph_shadow_assassin_OnAfterAttack_node1fb1e3	OnAfterAttack	AbilityTriggerer		ConditionSelf{oper=IsFalse} + ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}			EffectRunGraph	
shadow_bat	0	<效果图>	ActivateEffect	自身			0		ActivateEffect 210001	
shadow_bat	-	graph_shadow_bat_ActivateEffect_node5b1843	OnPlay	Self					EffectRunGraph	
shark	0	<效果图>	OnDeathOther	施法者玩家			0		OnDeathOther 210001	
shark	-	graph_shark_OnDeathOther_node18a2b7	OnDeathOther	PlayerSelf	ConditionCardType{has_type=Character;oper=IsTrue}				EffectRunGraph	
sickle_girl	0	<效果图>	OnKill	对手玩家			0		OnKill 202041	
sickle_girl	-	deathtouch	Ongoing	Self				Deathtouch		
sickle_girl	-	graph_sickle_girl_OnKill_node84484a	OnKill	PlayerOpponent	ConditionCardType{has_type=Character;oper=IsTrue}				EffectRunGraph	
skeleton_soldier	0	<效果图>	PassiveEffect	自身			0		PassiveEffect 202003	
skeleton_soldier	-	graph_skeleton_soldier_PassiveEffect_node57b2e7	OnDeath	Self					EffectRunGraph	
small_bird	-	flying_ally	Ongoing	Self		ConditionOtherCardWithStatus{has_status=Flying;oper=GreaterEqual;value=1}		Flying		
snake_venom	-	attack_poison	OnBeforeAttack	AbilityTriggerer		ConditionSelf{oper=IsFalse} + ConditionCardType{has_type=Character;oper=IsTrue}		Poisoned		
snake_venom	-	defend_poison	OnBeforeDefend	AbilityTriggerer		ConditionSelf{oper=IsFalse} + ConditionCardType{has_type=Character;oper=IsTrue}		Poisoned		
soul_harvest	0	<效果图>	ActivateEffect	所有角色			0		ActivateEffect 102032 212001 202016	chain_heal_per_kill
soul_harvest	-	graph_soul_harvest_ActivateEffect_node07f2a0	OnPlay	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	chain_heal_per_kill
spell_aerial_strike	0	<效果图>	ActivateEffect	施法者玩家			0		ActivateEffect 202004 202004 202004	
spell_aerial_strike	-	graph_spell_aerial_strike_ActivateEffect_nodef999b3	OnPlay	PlayerSelf					EffectRunGraph	
spell_armageddon	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 101030 112005 212001 202041	
spell_armageddon	-	graph_spell_armageddon_ActivateEffect_node2b1805	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
spell_burn	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 202041	
spell_burn	-	graph_spell_burn_ActivateEffect_nodefac6e3	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
spell_extinct	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 EFCardOwner 112005 212001 202050	
spell_extinct	-	graph_spell_extinct_ActivateEffect_nodea17822	OnPlay	PlayTarget		ConditionTarget{type=Card;oper=IsTrue} + ConditionOwner{oper=IsFalse}			EffectRunGraph	
spell_flood	0	<效果图>	ActivateEffect	所有角色			0		ActivateEffect 102032 212001 SetCardHpClearDamage	
spell_flood	-	graph_spell_flood_ActivateEffect_nodefc95e7	OnPlay	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	
spell_growth	0	<效果图>	ActivateEffect	所有角色			0		ActivateEffect EFCardOwner 102032 112005 212001 102004 112003 112004 202037	
spell_growth	1	<效果图>	ActivateEffect	所有角色			0		ActivateEffect EFCardOwner 212001 102004 112003 112004 202037	
spell_growth	-	graph_spell_growth_ActivateEffect_node8f33cc	OnPlay	AllCardsBoard		ConditionOwner{oper=IsTrue} + ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	
spell_growth	-	graph_spell_growth_ActivateEffect_node8de6db	OnPlay	AllCardsBoard		ConditionOwner{oper=IsTrue}			EffectRunGraph	
spell_hibernate	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 102032 212001 102004 112003 112004 202037 102004 112003 112004 202037	chain_hibernate
spell_hibernate	-	graph_spell_hibernate_ActivateEffect_node01e646	OnPlay	PlayTarget		ConditionCardType{has_type=Character;oper=IsTrue}			EffectRunGraph	chain_hibernate
spell_projectiles	0	<效果图>	ActivateEffect	无			0		ActivateEffect RepeatAbilityById	
spell_projectiles	-	graph_spell_projectiles_ActivateEffect_node0d375a	OnPlay	None	ConditionSelectedValue{oper=Greater;value=0}				EffectRunGraph	
spell_roots	-	spell_paralyse	OnPlay	PlayTarget		ConditionCardType{has_type=Character;oper=IsTrue} + ConditionOwner{oper=IsFalse}		Paralysed		
spell_split	0	<效果图>	ActivateEffect	选择目标			0		ActivateEffect 102001 112002 112005 112001 101030 112005 212001 202041	
spell_split	-	graph_spell_split_ActivateEffect_node1d81fe	OnPlay	SelectTarget		ConditionSelf{oper=IsFalse} + ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
spell_stomp	0	<效果图>	ActivateEffect	所有角色			2		ActivateEffect 102032 212001 202016	
spell_stomp	-	graph_spell_stomp_ActivateEffect_node86ba93	OnPlay	AllCardsBoard		ConditionCardType{has_type=Character;oper=IsTrue}	FilterLowestStat{stat=20}+FilterRandom{amount=1}		EffectRunGraph	
spell_stones	0	<效果图>	ActivateEffect	打出目标			0		ActivateEffect 112001 101030 112005 212001 202041	
spell_stones	1	<效果图>	ActivateEffect	施法者玩家			0		ActivateEffect 210001	
spell_stones	-	graph_spell_stones_ActivateEffect_nodeedaf98	OnPlay	PlayTarget		ConditionSlotEmpty{oper=IsFalse} + ConditionOwnerAI{oper=IsFalse}			EffectRunGraph	
spell_stones	-	graph_spell_stones_ActivateEffect_node074af5	OnPlay	PlayerSelf					EffectRunGraph	
spell_storm	0	<效果图>	ActivateEffect	所有角色			0		ActivateEffect SendToPileRaw	
