ability_id	path	referenced_by_cards
death_give_shield	Assets\TcgEngine\Resources\Abilities\other\death_give_shield.asset	0
death_heal_hero_1	Assets\TcgEngine\Resources\Abilities\other\death_heal_hero_1.asset	0
death_heal2	Assets\TcgEngine\Resources\Abilities\other\death_heal2.asset	0
death_summon_skeleton2	Assets\TcgEngine\Resources\Abilities\other\death_summon_skeleton2.asset	0
death_summon_zombie	Assets\TcgEngine\Resources\Abilities\other\death_summon_zombie.asset	0
defend_debuff_attack	Assets\TcgEngine\Resources\Abilities\other\defend_debuff_attack.asset	0
defend_discard	Assets\TcgEngine\Resources\Abilities\other\defend_discard.asset	0
disappear	Assets\TcgEngine\Resources\Abilities\ongoing\disappear.asset	0
disorder	Assets\TcgEngine\Resources\Abilities\ongoing\disorder.asset	0
doomed	Assets\TcgEngine\Resources\Abilities\ongoing\doomed.asset	0
egg_growth	Assets\TcgEngine\Resources\Abilities\other\egg_growth.asset	0
egg_transform	Assets\TcgEngine\Resources\Abilities\other\egg_transform.asset	0
end_turn_blessing_chain_draw	Assets\TcgEngine\Resources\Abilities\other\end_turn_blessing_chain_draw.asset	0
end_turn_blessing_chain_heal	Assets\TcgEngine\Resources\Abilities\other\end_turn_blessing_chain_heal.asset	0
end_turn_heal_all	Assets\TcgEngine\Resources\Abilities\other\end_turn_heal_all.asset	0
enemy_draw_damage1	Assets\TcgEngine\Resources\Abilities\other\enemy_draw_damage1.asset	0
equip_attack_use	Assets\TcgEngine\Resources\Abilities\equipment\equip_attack_use.asset	0
equip_attack2	Assets\TcgEngine\Resources\Abilities\equipment\equip_attack2.asset	0
equip_attack3	Assets\TcgEngine\Resources\Abilities\equipment\equip_attack3.asset	0
equip_defend_use	Assets\TcgEngine\Resources\Abilities\equipment\equip_defend_use.asset	0
equip_destory	Assets\TcgEngine\Resources\Abilities\equipment\equip_destory.asset	0
equip_hp3	Assets\TcgEngine\Resources\Abilities\equipment\equip_hp3.asset	0
equip_mana_kill	Assets\TcgEngine\Resources\Abilities\equipment\equip_mana_kill.asset	0
flying_aura_attack	Assets\TcgEngine\Resources\Abilities\ongoing\flying_aura_attack.asset	0
forest_tree_spirit_aura	Assets\TcgEngine\Resources\Abilities\ongoing\forest_tree_spirit_aura.asset	0
haste	Assets\TcgEngine\Resources\Abilities\ongoing\haste.asset	0
hero_aura_ally_boost	Assets\TcgEngine\Resources\Abilities\ongoing\hero_aura_ally_boost.asset	0
hero_power_mana	Assets\TcgEngine\Resources\Abilities\other\hero_power_mana.asset	0
immunity	Assets\TcgEngine\Resources\Abilities\ongoing\immunity.asset	0
kill_draw2	Assets\TcgEngine\Resources\Abilities\other\kill_draw2.asset	0
kill_growth	Assets\TcgEngine\Resources\Abilities\other\kill_growth.asset	0
Paralysed	Assets\TcgEngine\Resources\Abilities\ongoing\Paralysed.asset	0
play_-1atk	Assets\TcgEngine\Resources\Abilities\play\play_-1atk.asset	0
play_buff_angel	Assets\TcgEngine\Resources\Abilities\other\play_buff_angel.asset	0
play_buff_discard	Assets\TcgEngine\Resources\Abilities\other\play_buff_discard.asset	0
play_damage_all_atkvalue	Assets\TcgEngine\Resources\Abilities\play\play_damage_all_atkvalue.asset	0
play_damage2	Assets\TcgEngine\Resources\Abilities\play\play_damage2.asset	0
play_damage3_enemy_player	Assets\TcgEngine\Resources\Abilities\play\play_damage3_enemy_player.asset	0
play_damage3_repeart	Assets\TcgEngine\Resources\Abilities\play\play_damage3_repeart.asset	0
play_damage4_players	Assets\TcgEngine\Resources\Abilities\play\play_damage4_players.asset	0
play_destroy_artifact_equip	Assets\TcgEngine\Resources\Abilities\play\play_destroy_artifact_equip.asset	0
play_destroy_enemy	Assets\TcgEngine\Resources\Abilities\play\play_destroy_enemy.asset	0
play_disappear	Assets\TcgEngine\Resources\Abilities\play\play_disappear.asset	0
play_disappear_-1atk	Assets\TcgEngine\Resources\Abilities\play\play_disappear_-1atk.asset	0
play_discard	Assets\TcgEngine\Resources\Abilities\play\play_discard.asset	0
play_draw_equipment	Assets\TcgEngine\Resources\Abilities\play\play_draw_equipment.asset	0
play_draw2	Assets\TcgEngine\Resources\Abilities\play\play_draw2.asset	0
play_give_shield	Assets\TcgEngine\Resources\Abilities\other\play_give_shield.asset	0
play_heal_hero_2	Assets\TcgEngine\Resources\Abilities\other\play_heal_hero_2.asset	0
play_heal_hero_3	Assets\TcgEngine\Resources\Abilities\other\play_heal_hero_3.asset	0
play_other_sacrifice	Assets\TcgEngine\Resources\Abilities\other\play_other_sacrifice.asset	0
play_paralyse1_self	Assets\TcgEngine\Resources\Abilities\play\play_paralyse1_self.asset	0
play_poison	Assets\TcgEngine\Resources\Abilities\play\play_poison.asset	0
play_recover2	Assets\TcgEngine\Resources\Abilities\play\play_recover2.asset	0
play_summon_angel_guardian	Assets\TcgEngine\Resources\Abilities\other\play_summon_angel_guardian.asset	0
play_summon_recruit	Assets\TcgEngine\Resources\Abilities\other\play_summon_recruit.asset	0
regen3	Assets\TcgEngine\Resources\Abilities\other\regen3.asset	0
regenerate	Assets\TcgEngine\Resources\Abilities\ongoing\regenerate.asset	0
roll_add_attack	Assets\TcgEngine\Resources\Abilities\dice\roll_add_attack.asset	0
roll_attack_bonus	Assets\TcgEngine\Resources\Abilities\dice\roll_attack_bonus.asset	0
roll_send_hand	Assets\TcgEngine\Resources\Abilities\dice\roll_send_hand.asset	0
spell_add_attack_suffer	Assets\TcgEngine\Resources\Abilities\spells\spell_add_attack_suffer.asset	0
spell_add_hero_aura	Assets\TcgEngine\Resources\Abilities\spells\spell_add_hero_aura.asset	0
spell_annihilate	Assets\TcgEngine\Resources\Abilities\spells\spell_annihilate.asset	0
spell_armor2	Assets\TcgEngine\Resources\Abilities\spells\spell_armor2.asset	0
spell_baiguiyexing	Assets\TcgEngine\Resources\Abilities\spells\spell_baiguiyexing.asset	0
spell_bounce	Assets\TcgEngine\Resources\Abilities\spells\spell_bounce.asset	0
spell_damage_mana_max	Assets\TcgEngine\Resources\Abilities\spells\spell_damage_mana_max.asset	0
spell_damage3	Assets\TcgEngine\Resources\Abilities\spells\spell_damage3.asset	0
spell_destroy	Assets\TcgEngine\Resources\Abilities\spells\spell_destroy.asset	0
spell_destroy_all	Assets\TcgEngine\Resources\Abilities\spells\spell_destroy_all.asset	0
spell_divine_judgment	Assets\TcgEngine\Resources\Abilities\spells\spell_divine_judgment.asset	0
spell_divine_shield	Assets\TcgEngine\Resources\Abilities\spells\spell_divine_shield.asset	0
spell_exile	Assets\TcgEngine\Resources\Abilities\spells\spell_exile.asset	0
spell_fanhun	Assets\TcgEngine\Resources\Abilities\spells\spell_fanhun.asset	0
spell_give_flying_ability	Assets\TcgEngine\Resources\Abilities\spells\spell_give_flying_ability.asset	0
spell_give_lifesteal_buff	Assets\TcgEngine\Resources\Abilities\spells\spell_give_lifesteal_buff.asset	0
spell_give_shield_buff	Assets\TcgEngine\Resources\Abilities\spells\spell_give_shield_buff.asset	0
spell_give_shield_holy	Assets\TcgEngine\Resources\Abilities\spells\spell_give_shield_holy.asset	0
spell_growth_potion	Assets\TcgEngine\Resources\Abilities\spells\spell_growth_potion.asset	0
spell_heal_any	Assets\TcgEngine\Resources\Abilities\spells\spell_heal_any.asset	0
spell_heal_play_target	Assets\TcgEngine\Resources\Abilities\spells\spell_heal_play_target.asset	0
spell_hp70	Assets\TcgEngine\Resources\Abilities\spells\spell_hp70.asset	0
spell_jixianhuohua	Assets\TcgEngine\Resources\Abilities\spells\spell_jixianhuohua.asset	0
spell_life_enhance	Assets\TcgEngine\Resources\Abilities\spells\spell_life_enhance.asset	0
spell_life_enhancement	Assets\TcgEngine\Resources\Abilities\spells\spell_life_enhancement.asset	0
spell_new_turn	Assets\TcgEngine\Resources\Abilities\spells\spell_new_turn.asset	0
spell_quickdraw1_repeat	Assets\TcgEngine\Resources\Abilities\spells\spell_quickdraw1_repeat.asset	0
spell_revive_holy	Assets\TcgEngine\Resources\Abilities\spells\spell_revive_holy.asset	0
spell_sacrifice_draw2	Assets\TcgEngine\Resources\Abilities\spells\spell_sacrifice_draw2.asset	0
spell_send_board	Assets\TcgEngine\Resources\Abilities\spells\spell_send_board.asset	0
spell_silence_buff	Assets\TcgEngine\Resources\Abilities\spells\spell_silence_buff.asset	0
spell_summon_dragon_red_damage_chain	Assets\TcgEngine\Resources\Abilities\spells\spell_summon_dragon_red_damage_chain.asset	0
spell_summon_huoyanmao	Assets\TcgEngine\Resources\Abilities\spells\spell_summon_huoyanmao.asset	0
spell_summon_huoyanmao_repeat5	Assets\TcgEngine\Resources\Abilities\spells\spell_summon_huoyanmao_repeat5.asset	0
spell_summon_zombie_repeat4	Assets\TcgEngine\Resources\Abilities\spells\spell_summon_zombie_repeat4.asset	0
spell_undead_strike	Assets\TcgEngine\Resources\Abilities\spells\spell_undead_strike.asset	0
start_turn_discard	Assets\TcgEngine\Resources\Abilities\other\start_turn_discard.asset	0
start_turn_draw2_or_heal5	Assets\TcgEngine\Resources\Abilities\other\start_turn_draw2_or_heal5.asset	0
start_turn_summon_dragon	Assets\TcgEngine\Resources\Abilities\other\start_turn_summon_dragon.asset	0
start_turn_summon_dragon_chain_play	Assets\TcgEngine\Resources\Abilities\other\start_turn_summon_dragon_chain_play.asset	0
summon_lower2_discard	Assets\TcgEngine\Resources\Abilities\play\summon_lower2_discard.asset	0
turn_add_attack1	Assets\TcgEngine\Resources\Abilities\other\turn_add_attack1.asset	0
turn_end_heal_hero_1	Assets\TcgEngine\Resources\Abilities\other\turn_end_heal_hero_1.asset	0
turn_end_summon_angel_small	Assets\TcgEngine\Resources\Abilities\other\turn_end_summon_angel_small.asset	0
undead_legion_summon	Assets\TcgEngine\Resources\Abilities\spells\undead_legion_summon.asset	0
undead_strike_heal	Assets\TcgEngine\Resources\Abilities\other\undead_strike_heal.asset	0
vitality	Assets\TcgEngine\Resources\Abilities\ongoing\vitality.asset	0
white_dragon_death	Assets\TcgEngine\Resources\Abilities\other\white_dragon_death.asset	0
