ability_id	direct	reachable	chain_out
spell_summon_dragon_red_damage_chain	False	True	0
spell_summon_eagle	True	True	0
spell_summon_huoyanmao	False	False	0
spell_summon_huoyanmao_repeat5	False	False	1
spell_summon_zombie_repeat4	False	False	1
spell_taunt	True	True	0
spell_treasure	True	True	1
spell_undead_strike	False	False	1
start_turn_discard	False	False	0
start_turn_draw2_or_heal5	False	False	2
start_turn_summon_dragon	False	False	1
start_turn_summon_dragon_chain_play	False	False	0
stealth	True	True	0
stealth_attack_debuff	True	True	0
summon_lower2_discard	False	False	1
taunt	True	True	0
town_aura_blue	True	True	0
town_aura_green	True	True	0
town_aura_red	True	True	0
trample	True	True	0
trap_damage_all2	True	True	0
trap_destroy	True	True	0
trap_paralyse3	True	True	0
trap_transform_fish	True	True	0
turn_add_attack1	False	False	0
turn_end_damage_hero_2	True	True	0
turn_end_heal_hero_1	False	False	0
turn_end_summon_angel_small	False	False	0
turn_green_heal	True	True	0
turn_kill_lowest	True	True	0
turn_stealth	True	True	0
undead_legion_summon	False	False	0
undead_strike_heal	False	False	1
vampire_lord	True	True	1
vitality	False	False	0
white_dragon_death	False	False	0
