card	ability	trigger	target	result	effects	reason
flame_eagle	play_haste	OnPlay	Self	ok	2 节点	
forest_Axe	equip_lifesteal	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
forest_Axe	equip_attack1	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
forest_Axe	equip_hp2	Ongoing	EquippedCard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
ghoul	play_ghoul_buff	OnPlay	Self	ok	9 节点	条件走数据直通（图里表达不了：条件未支持：ConditionCount）
gorilla	play_roll_attack	OnPlay	Self	ok	2 节点	
graveyard	graveyard_draw	41	PlayerSelf	todo		触发时机未支持（P1）：41
hell_hound	fury	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
hero_fire	activate_fire	Activate	SelectTarget	ok	6 节点	
hero_forest	activate_forest	Activate	SelectTarget	ok	6 节点	
hero_water	activate_water	Activate	PlayerSelf	ok	2 节点	
holy_angel	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
holy_blessing	spell_buff1	OnPlay	SelectTarget	ok	13 节点	
holy_blessing	trample	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
holy_griffin	activate_get+1+2	Activate	Self	ok	5 节点	
holy_light	spell_heal_9	OnPlay	PlayTarget	ok	4 节点	
holy_saintess	play_+3+3	OnPlay	SelectTarget	ok	11 节点	
holy_saintess	play_recover3	OnPlay	PlayerSelf	ok	2 节点	
holy_saintess	play_draw1	OnPlay	Self	ok	2 节点	
ice_girl	fury	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
ice_girl	attack_bounce	OnBeforeAttack	AbilityTriggerer	ok	6 节点	
imp	play_deal_damage1	OnPlay	SelectTarget	ok	9 节点	
killer_whale	play_destroy_less4	OnPlay	SelectTarget	ok	2 节点	条件走数据直通（图里表达不了：条件未支持：ConditionStat）
kraken	play_haste	OnPlay	Self	ok	2 节点	
large_eagle	flying_attack_1	Ongoing	AllCardsBoard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
large_eagle	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
lava_beast	(引用0)	?	?	todo		能力引用丢失（abilities[0] 为空）
light_blessing	spell_heal_9	OnPlay	PlayTarget	ok	4 节点	
light_sword	lifesteal	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
mammoth	trample	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
necromancer	play_revive_random	OnPlay	CardSelector	ok	2 节点	
octopus	attack_roll_attack_bonus	OnBeforeAttack	Self	ok	2 节点	
owl	play_silence	OnPlay	SelectTarget	ok	10 节点	
owl	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
paladin	shell	OnPlay	Self	data		状态直通（纯数据，无规则可图）
phoenix	activate_damage2	Activate	SelectTarget	ok	9 节点	
phoenix	death_egg	OnDeath	Self	ok	2 节点	
phoenix_egg	egg_transform_phoenix	StartOfTurn	Self	ok	2 节点	
poison_frog	deathtouch	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
potion_blue	spell_shell	OnPlay	PlayTarget	data		状态直通（纯数据，无规则可图）
potion_blue	spell_heal_full	OnPlay	PlayTarget	ok	6 节点	
potion_green	spell_hp2	OnPlay	PlayTarget	ok	9 节点	
potion_green	spell_taunt	OnPlay	PlayTarget	data		状态直通（纯数据，无规则可图）
potion_red	spell_attack1	OnPlay	PlayTarget	ok	9 节点	
potion_red	spell_fury	OnPlay	PlayTarget	data		状态直通（纯数据，无规则可图）
power_blessing	spell_buff5	OnPlay	SelectTarget	ok	13 节点	
power_blessing	taunt	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
power_blessing	spell_immunity	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
pufferfish	defense_attack3	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
purification_priest	play_silence	OnPlay	SelectTarget	ok	10 节点	
raccoon	play_select_discard	OnPlay	CardSelector	ok	2 节点	
reaper	turn_kill_lowest	StartOfTurn	AllCardsBoard	ok	4 节点	
resurrection_swamp	spell_revive	OnPlay	CardSelector	ok	2 节点	
sasquatch	turn_stealth	EndOfTurn	Self	ok	2 节点	条件走数据直通（图里表达不了：条件未支持：ConditionCount）
sea_monster	aura_attack_m1	Ongoing	AllCardsBoard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
sea_monster	activate_boost1	Activate	AllCardsBoard	data		状态直通（纯数据，无规则可图）
seagull	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
shadow_arrow	spell_damage4	OnPlay	PlayTarget	ok	6 节点	
shadow_assassin	stealth	OnPlay	Self	data		状态直通（纯数据，无规则可图）
shadow_assassin	stealth_attack_debuff	OnAfterAttack	AbilityTriggerer	ok	16 节点	
shadow_bat	play_draw1	OnPlay	Self	ok	2 节点	
shark	death_other_draw	OnDeathOther	PlayerSelf	ok	2 节点	
sickle_girl	deathtouch	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
sickle_girl	kill_damage3_enemy_hero	OnKill	PlayerOpponent	ok	2 节点	
skeleton_soldier	death_summon_skeleton	OnDeath	Self	ok	2 节点	
small_bird	flying_ally	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
snake_venom	attack_poison	OnBeforeAttack	AbilityTriggerer	data		状态直通（纯数据，无规则可图）
snake_venom	defend_poison	OnBeforeDefend	AbilityTriggerer	data		状态直通（纯数据，无规则可图）
soul_harvest	spell_soul_harvest	OnPlay	AllCardsBoard	ok	4 节点	
spell_aerial_strike	spell_summon_eagle	OnPlay	PlayerSelf	ok	4 节点	
spell_armageddon	spell_damage4	OnPlay	PlayTarget	ok	6 节点	
spell_burn	play_deal_damage5	OnPlay	SelectTarget	ok	9 节点	
spell_extinct	spell_add_play_extinct	OnPlay	PlayTarget	ok	6 节点	
spell_flood	spell_damage_per_hand	OnPlay	AllCardsBoard	ok	4 节点	
spell_growth	spell_ally_attack_2	OnPlay	AllCardsBoard	ok	9 节点	
spell_growth	spell_ally_hp_2	OnPlay	AllCardsBoard	ok	7 节点	
spell_hibernate	spell_hibernate	OnPlay	PlayTarget	ok	11 节点	
spell_projectiles	spell_projectile1_repeat	OnPlay	None	ok	2 节点	条件走数据直通（图里表达不了：条件未支持：ConditionSelectedValue）
spell_roots	spell_paralyse	OnPlay	PlayTarget	data		状态直通（纯数据，无规则可图）
spell_split	play_damage3_creature	OnPlay	SelectTarget	ok	9 节点	
spell_stomp	spell_kill_lowest_hp	OnPlay	AllCardsBoard	ok	4 节点	
spell_stones	spell_damage1	OnPlay	PlayTarget	ok	6 节点	
spell_stones	spell_draw1	OnPlay	PlayerSelf	ok	2 节点	
spell_storm	spell_return_all	OnPlay	AllCardsBoard	ok	2 节点	
spell_submerge	spell_add_submerge	OnPlay	PlayTarget	ok	6 节点	
spell_treasure	spell_treasure	OnPlay	PlayerSelf	ok	2 节点	
spell_wave	spell_send_hand	OnPlay	PlayTarget	ok	6 节点	
star_tower	spell_draw_aura	OnPlayOther	PlayerSelf	ok	2 节点	
strength_blessing	spell_buff1	OnPlay	SelectTarget	ok	13 节点	
strength_blessing	trample	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
town_forest	town_aura_green	Ongoing	AllCardsBoard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
town_underwater	town_aura_blue	Ongoing	AllCardsHand	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
town_volcano	town_aura_red	Ongoing	AllCardsBoard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
trap_explosive	trap_damage_all2	OnBeforeAttack	AllCardsBoard	ok	6 节点	
trap_fish	secret_transform_fish	OnPlayOther	AbilityTriggerer	ok	2 节点	
trap_spike	trap_paralyse3	OnAfterAttack	AbilityTriggerer	data		状态直通（纯数据，无规则可图）
tree_angry	regen_all	StartOfTurn	Self	ok	2 节点	
turtle	taunt	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
turtle	shell	OnPlay	Self	data		状态直通（纯数据，无规则可图）
unicorn	play_boost2	OnPlay	SelectTarget	data		状态直通（纯数据，无规则可图）
vampire	vampire_lord	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
vampire	kill_damage3_enemy_hero	OnKill	PlayerOpponent	ok	2 节点	
waterfowl	flying	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
white_swan	activated_(1)_heal3	OnPlay	PlayTarget	ok	4 节点	
wolf_alpha	play_summon_wolf	OnPlay	AllSlots	ok	2 节点	
wolf_alpha	aura_wolf	Ongoing	AllCardsBoard	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
wolf_furious	fury	Ongoing	Self	data		旧能力直通（Ongoing 光环/装备/持续：Ongoing 管线不走图，原生语义保真）
wolf_furious	attack_add_attack1	OnBeforeAttack	Self	ok	5 节点	
wolf_stalker	stealth	OnPlay	Self	data		状态直通（纯数据，无规则可图）
woodland	turn_green_heal	StartOfTurn	AllCardsBoard	ok	2 节点	条件走数据直通（图里表达不了：类型条件含阵营/种族（无对应节点））
world_tree_seedling	end_turn_blessing	EndOfTurn	PlayerSelf	ok	2 节点	条件走数据直通（图里表达不了：条件未支持：ConditionTurn）
zombie	play_debuff1	OnPlay	SelectTarget	ok	14 节点	
# 汇总：卡=155（含图的卡 93）｜能力 ok=98｜data直通=64｜todo=3
# TODO 原因分布：
#   触发时机未支持（P1）：None = 1
#   触发时机未支持（P1）：41 = 1
#   能力引用丢失（abilities[0] 为空） = 1
